type;n;algo;threshold;time_ms
random;27000;merge;0;1
random;27100;merge;0;1
random;27200;merge;0;1
random;27300;merge;0;1
random;27400;merge;0;1
random;27500;merge;0;1
random;27600;merge;0;1
random;27700;merge;0;1
random;27800;merge;0;1
random;27900;merge;0;1
random;28000;merge;0;1
random;28100;merge;0;1
random;28200;merge;0;1
random;28300;merge;0;1
random;28400;merge;0;1
random;28500;merge;0;1
random;28600;merge;0;1
random;28700;merge;0;1
random;28800;merge;0;1
random;28900;merge;0;1
random;29000;merge;0;1
random;29100;merge;0;1
random;29200;merge;0;1
random;29300;merge;0;1
random;29400;merge;0;1
random;29500;merge;0;1
random;29600;merge;0;1
random;29700;merge;0;1
random;29800;merge;0;1
random;29900;merge;0;1
random;30000;merge;0;1
random;30100;merge;0;1
random;30200;merge;0;1
random;30300;merge;0;1
random;30400;merge;0;1
random;30500;merge;0;1
random;30600;merge;0;1
random;30700;merge;0;1
random;30800;merge;0;1
random;30900;merge;0;1
random;31000;merge;0;1
random;31100;merge;0;1
random;31200;merge;0;1
random;31300;merge;0;1
random;31400;merge;0;1
random;31500;merge;0;1
random;31600;merge;0;1
random;31700;merge;0;1
random;31800;merge;0;1
random;31900;merge;0;1
random;32000;merge;0;1
random;32100;merge;0;1
random;32200;merge;0;1
random;32300;merge;0;1
random;32400;merge;0;1
random;32500;merge;0;1
random;32600;merge;0;1
random;32700;merge;0;1
random;32800;merge;0;1
random;32900;merge;0;1
random;33000;merge;0;1
random;33100;merge;0;1
random;33200;merge;0;1
random;33300;merge;0;1
random;33400;merge;0;1
random;33500;merge;0;1
random;33600;merge;0;1
random;33700;merge;0;1
random;33800;merge;0;1
random;33900;merge;0;1
random;34000;merge;0;1
random;34100;merge;0;1
random;34200;merge;0;1
random;34300;merge;0;1
random;34400;merge;0;1
random;34500;merge;0;1
random;34600;merge;0;1
random;34700;merge;0;1
random;34800;merge;0;1
random;34900;merge;0;1
random;35000;merge;0;1
random;35100;merge;0;1
random;35200;merge;0;1
random;35300;merge;0;1
random;35400;merge;0;1
random;35500;merge;0;1
random;35600;merge;0;1
random;35700;merge;0;1
random;35800;merge;0;1
random;35900;merge;0;1
random;36000;merge;0;1
random;36100;merge;0;1
random;36200;merge;0;1
random;36300;merge;0;1
random;36400;merge;0;1
random;36500;merge;0;1
random;36600;merge;0;1
random;36700;merge;0;1
random;36800;merge;0;1
random;36900;merge;0;1
random;37000;merge;0;1
random;37100;merge;0;1
random;37200;merge;0;1
random;37300;merge;0;1
random;37400;merge;0;1
random;37500;merge;0;1
random;37600;merge;0;1
random;37700;merge;0;1
random;37800;merge;0;1
random;37900;merge;0;1
random;38000;merge;0;1
random;38100;merge;0;1
random;38200;merge;0;1
random;38300;merge;0;1
random;38400;merge;0;1
random;38500;merge;0;1
random;38600;merge;0;1
random;38700;merge;0;1
random;38800;merge;0;1
random;38900;merge;0;1
random;39000;merge;0;1
random;39100;merge;0;1
random;39200;merge;0;1
random;39300;merge;0;1
random;39400;merge;0;1
random;39500;merge;0;1
random;39600;merge;0;1
random;39700;merge;0;1
